year,canada,germany,poland,uk,us
1800,0.00733,0.0442,0.0452,2.48,0.0422
1801,0.00716,0.0293,0.0489,2.46,0.0438
1802,0.00698,0.0298,0.0494,2.45,0.0465
1803,0.00681,0.0283,0.0502,2.72,0.0468
1804,0.00665,0.0525,0.0495,2.7,0.0516
1805,0.00649,0.0534,0.0613,2.78,0.0517
1806,0.00633,0.0473,0.0554,2.9,0.0497
1807,0.00618,0.133,0.0399,2.87,0.0552
1808,0.00603,0.0438,0.0526,2.84,0.0563
1809,0.00588,0.0447,0.0492,2.81,0.0568
1810,0.00574,0.0462,0.0587,2.7,0.0572
1811,0.0056,0.0431,0.0605,2.77,0.0596
1812,0.00546,0.0417,0.0462,2.74,0.0626
1813,0.00533,0.0401,0.0385,2.62,0.0653
1814,0.0052,0.0391,0.0504,2.52,0.0681
1815,0.00508,0.0449,0.0587,2.44,0.0707
1816,0.00495,0.102,0.067,2.45,0.0755
1817,0.00483,0.143,0.073,2.34,0.0792
1818,0.00472,0.147,0.0899,2.21,0.0834
1819,0.00459,0.134,0.0733,2.13,0.0789
1820,0.00446,0.136,0.0717,2.06,0.0795
1821,0.00432,0.14,0.0789,2.01,0.0807
1822,0.00418,0.142,0.0859,2.04,0.0819
1823,0.00403,0.156,0.115,2.13,0.083
1824,0.00389,0.124,0.119,2.2,0.0908
1825,0.00375,0.164,0.123,2.19,0.0988
1826,0.00362,0.157,0.112,2.19,0.111
1827,0.00349,0.168,0.119,2.25,0.119
1828,0.00337,0.166,0.109,2.24,0.127
1829,0.00325,0.131,0.0958,2.24,0.14
1830,0.00313,0.171,0.0882,2.82,0.158
1831,0.00302,0.162,0.0717,2.7,0.166
1832,0.00291,0.12,0.0908,2.66,0.216
1833,0.0028,0.151,0.0936,2.63,0.245
1834,0.0027,0.151,0.0977,2.61,0.229
1835,0.0026,0.167,0.104,2.57,0.284
1836,0.0025,0.174,0.117,2.98,0.303
1837,0.00241,0.197,0.125,2.85,0.33
1838,0.00232,0.218,0.133,2.9,0.305
1839,0.00224,0.228,0.14,2.95,0.325
1840,0.00216,0.295,0.163,3.05,0.336
1841,0.00208,0.305,0.176,3.06,0.345
1842,0.002,0.344,0.186,3.18,0.373
1843,0.00192,0.323,0.182,3.32,0.407
1844,0.00185,0.339,0.193,3.48,0.473
1845,0.00178,0.389,0.223,3.71,0.552
1846,0.012,0.404,0.234,3.55,0.608
1847,0.0149,0.42,0.238,3.83,0.7
1848,0.0175,0.387,0.238,4.04,0.756
1849,0.0199,0.407,0.233,4.27,0.796
1850,0.0237,0.449,0.246,4.5,0.839
1851,0.0272,0.497,0.263,4.26,1.01
