,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
44,2000-01-02,2.402445499999999,0.007978999999999997,1.50515425,0.20179924999999993
55,2000-01-03,5.291667,0.007375,0.18333349999999982,0.05625000000000008
65,2000-01-04,0.625,0.012624999999999994,0.9145835,-0.024999499999999952
76,2000-01-05,22.291667,-0.0020000000000000018,3.4020835000000003,0.29375
87,2000-01-06,2.916666,-0.001125000000000001,1.5729164999999998,0.01874999999999999
98,2000-01-07,2.875,-0.007624999999999996,3.375,-0.0770835
109,2000-01-08,5.7916669999999995,-0.0038750000000000034,0.32916650000000003,0.033333500000000016
120,2000-01-09,4.5416669999999995,-0.009708000000000001,2.210417,0.12083299999999997
11,2000-01-10,-3.9166670000000003,0.003499999999999996,0.6249999999999999,-0.18157900000000005
22,2000-01-11,10.916666,-0.012354499999999997,1.9229167500000002,0.29999999999999993
33,2000-01-12,13.241666500000001,-0.014417,3.5989584999999997,0.586458
525,2000-01-13,22.730263,-0.023,2.07197,1.109511
656,2000-01-14,9.291667,-0.016750000000000004,1.4541665000000004,0.3833335000000001
786,2000-01-15,14.429348,-0.018709,2.4479165,0.679167
916,2000-01-16,7.666667000000002,-0.011333,2.4479165,0.20208350000000008
1046,2000-01-17,15.333333000000003,-0.019582999999999996,3.1583334999999995,0.5458335000000001
1177,2000-01-18,15.601450000000005,-0.021040999999999997,3.3625,0.4104170000000001
1307,2000-01-19,22.583333,-0.024042,3.9479165,0.48124950000000005
1566,2000-01-20,20.374999999999993,-0.020375,3.822917,0.31666649999999996
1696,2000-01-21,24.249999999999996,-0.025042000000000002,3.4479165,0.5916669999999999
1827,2000-01-22,18.733696000000002,-0.019292,2.6979165,0.461775
1958,2000-01-23,22.333333,-0.0075410000000000026,2.9479165,0.37708350000000007
2088,2000-01-24,19.249999999999996,-0.011333000000000003,3.6916665,0.4125
2217,2000-01-25,11.541667,-0.014542000000000003,2.908333,0.1875
2345,2000-01-26,9.958333,-0.012459000000000001,2.8625,0.28958300000000003
2473,2000-01-27,22.212122,-0.024416,2.5751549999999996,0.37137649999999994
2601,2000-01-28,20.083333000000003,-0.020749999999999994,2.2833335,0.354167
2730,2000-01-29,18.583333,-0.017875000000000002,1.9874999999999998,0.3812495
2980,2000-01-30,10.416667,-0.012416000000000003,1.2104165,0.24375000000000005
3101,2000-01-31,17.708333000000003,-0.015916,1.2708335000000002,0.272917
1437,2000-02-01,13.541667,-0.020999999999999998,0.3687499999999999,0.16840300000000002
1481,2000-02-02,-5.0816124999999985,0.018792000000000003,0.8782545000000002,0.13645800000000008
1492,2000-02-03,11.083333,0.006083000000000002,-0.04583350000000008,0.25625050000000005
1502,2000-02-04,3.458332999999998,0.011124999999999993,1.2041665,0.09375
1512,2000-02-05,9.409419999999999,0.010999999999999996,2.567262,0.17916700000000002
1523,2000-02-06,6.125,-0.004208000000000003,0.88125,0.029166499999999984
1534,2000-02-07,-0.5833330000000005,-0.001125000000000001,3.24375,-0.11875
1545,2000-02-08,8.666667,0.0004580000000000001,0.375,0.07708350000000003
