,NO2_5d_tucson
0,20.883333399999998
1,10.4333332
2,26.262719200000006
3,30.3119566
4,26.891666800000007
5,25.134091000000005
6,21.911594
7,13.0166666
8,20.008333399999998
9,24.280303000000004
10,16.231883999999994
11,16.231883999999994
12,20.94791675
13,14.0376812
14,22.864855
15,19.303788
16,20.5204275
17,15.522727333333336
18,22.1460144
19,14.4171052
20,17.241666600000002
21,17.9862318
22,23.295290200000004
23,18.4333334
24,13.275
25,19.0307972
26,14.4188406
27,15.465909
28,12.2485294
29,17.2119048
30,10.9075756
31,16.791666600000003
32,10.671969599999999
33,12.9007248
34,11.7583336
35,17.311363600000004
36,13.625362199999998
37,19.366252600000006
38,11.45
39,10.960606
40,9.9098484
41,12.6416666
42,14.781060399999998
43,12.3833332
44,13.283333199999998
45,8.621739200000002
46,10.272826199999999
47,22.644203
48,9.3000002
49,15.3333334
50,10.980434599999999
51,9.25
52,12.7927536
53,21.741666600000002
54,9.0816668
55,16.2373188
56,17.224999800000003
57,11.0683332
58,16.1246376
59,19.5876812
60,13.0045454
61,14.958333399999995
62,23.3586956
63,20.378030399999997
64,24.4793478
65,27.7416668
66,15.275000200000004
67,18.198965
68,25.7144926
69,25.725
70,19.7264492
71,24.7595238
72,15.714130599999999
73,13.785902599999998
74,19.556884
75,18.875
76,23.2405796
77,22.7513396
78,14.716666800000002
79,14.3166666
80,14.818182
81,25.941919
82,16.267424400000003
83,16.75
84,10.076614
85,18.527174
86,19.20535725
87,19.20535725
88,17.80471
89,17.5666664
90,8.949999799999997
91,19.375
92,17.1257248
93,12.7416668
94,13.7113636
95,17.9929092
96,11.364822
97,14.050757800000005
98,11.2166666
99,17.733333199999993
100,12.878623199999998
101,17.973913
102,11.1083334
103,15.776087
104,11.728181799999998
105,9.9625
106,13.928722
107,18.7293478
108,10.972619199999999
109,13.8916666
110,8.464130399999998
111,6.6235507999999985
112,8.9666668
113,16.9583332
114,13.5416666
115,10.2731884
116,11.081884
117,14.7134058
118,14.5416666
119,13.7355074
120,10.3916666
121,12.4543478
122,15.2416668
123,11.1518116
124,13.2433334
125,10.931884
126,14.816666799999998
127,19.967029000000004
128,19.133333200000006
129,18.751086800000003
130,18.75
131,15.224999800000003
132,13.108333199999999
133,19.9898552
134,20.9416666
135,18.141666600000004
136,22.997619
137,12.301923
138,14.6636364
139,23.455303
140,22.196014399999996
141,24.557246400000004
142,21.799275199999997
143,15.45
144,14.322463749999995
145,23.893116199999998
146,29.383333400000005
147,30.9305555
148,22.50662875
149,15.983333600000002
150,9.575181
151,23.875
152,20.447463600000003
153,19.4583332
154,20.521969600000002
155,14.85
156,18.448369500000002
157,13.908333199999998
158,17.3844204
159,16.214130599999997
160,16.9727272
161,17.4119568
162,16.104166499999998
163,12.675
164,11.2045454
165,15.503623199999998
166,15.3719698
167,15.640942
168,14.515797
169,12.673913
170,10.725000200000002
171,12.5710144
172,14.931884
173,18.608333399999996
174,14.533333199999998
175,18.1833334
176,12.2997694
177,12.55
178,14.850000200000002
179,18.105566600000003
180,11.75
181,14.5583334
182,11.311594
183,7.4439394
184,11.5666666
185,18.266666600000004
186,10.933333199999998
187,17.5963766
188,10.7537878
189,12.4378786
190,15.885606200000002
191,17.774999799999996
192,12.0322464
193,18.133333399999998
194,10.6438406
195,18.533333399999997
196,15.111594200000004
197,12.8833334
198,12.049637999999998
199,17.823912999999994
200,17.294047600000003
201,17.2829712
202,19.058333600000005
203,20.4514492
204,14.113405999999998
205,19.008333399999998
206,22.4833332
207,27.2344204
208,20.813768399999997
209,16.5931158
210,16.8666668
211,19.373550800000004
212,26.808333200000003
213,21.758333399999998
214,22.9688406
215,20.955303
216,16.6748905
217,15.597826
218,28.256818200000005
219,22.677174
220,24.758333200000006
221,25.43550720000001
222,14.4419645
223,16.743115799999998
224,20.1003622
225,22.601515
226,16.733333199999993
227,19.12499975
228,11.25
229,18.6916666
230,17.0886362
231,12.969927199999995
232,13.237318799999999
233,10.9974638
234,16.0625
235,18.1916668
236,14.1833334
237,9.9257576
238,12.838095199999998
239,11.6
240,16.8079708
241,19.024637600000002
242,18.391666800000007
243,15.2416668
244,15.464130399999998
245,13.7028986
246,16.498912999999998
247,14.565151600000002
248,16.500000000000004
249,9.948485
250,10.8402172
251,14.691666800000002
252,15.166666800000002
253,14.3583332
254,17.628985399999994
255,9.1780304
256,9.7689394
257,9.8
258,14.475790400000001
259,12.3865942
260,18.5014494
261,17.511594199999998
262,15.706060399999998
263,16.2227272
264,17.7583332
265,14.075724800000001
266,19.3851448
267,20.379762
268,20.1999998
269,19.6097826
270,23.925000200000003
271,16.3869568
272,18.466666600000003
273,20.905435
274,20.408333399999997
275,20.6347826
276,19.2673912
277,17.0469698
278,15.375
279,21.257246399999996
280,20.9265152
281,27.397619199999998
282,20.3750002
283,15.4083334
284,18.5605074
285,22.583333399999997
286,19.9
287,17.287121399999997
288,21.5320816
289,16.6166666
290,11.64529
291,20.2112978
292,22.182575600000003
293,20.766666600000004
294,26.178623400000006
295,14.9583334
296,11.9583334
297,25.697826
298,23.038768
299,17.550362200000002
300,18.025000199999997
301,15.775
302,11.808333199999998
303,19.384091200000004
304,18.9
305,14.290908800000002
306,15.0257576
307,18.8583332
308,13.6368576
309,17.661363599999994
310,13.85
311,15.4272728
312,10.270290200000002
313,21.8515152
314,13.7083334
315,17.160605999999998
316,12.2
317,11.4083334
318,10.414130400000001
319,19.616666600000002
320,13.3852438
321,15.824999799999995
322,10.927898599999999
323,8.011956399999999
324,9.6583334
325,18.3539856
326,12.0833334
327,14.4681818
328,9.3427538
329,8.646969600000002
330,9.819696800000001
331,19.766666600000004
332,13.025
333,16.8264492
334,9.325
335,12.6032608
336,10.819697
337,17.941666599999994
338,11.1333334
339,16.2189394
340,13.6079712
341,12.6507248
342,16.2416668
343,15.457608399999998
344,11.006818199999998
345,16.1496376
346,14.1136364
347,13.2511904
348,13.3844204
349,13.525000200000004
350,14.6688406
351,14.3083334
352,13.1333332
353,20.6340908
354,19.773188600000005
355,16.4221014
356,14.309848399999998
357,14.6674242
358,18.2315218
359,16.8971014
360,20.149999800000003
361,17.295289800000003
362,14.85
363,12.916666600000005
364,22.575
365,18.5583334
366,14.6583334
367,17.1956522
368,15.565941800000001
369,11.8007248
370,18.75
371,18.5598484
372,13.789130400000001
373,15.4666666
374,13.198913000000001
375,12.463768199999999
376,12.8039856
377,14.091666399999998
378,12.5311592
379,13.7282608
380,15.022826
381,11.623485000000002
382,18.1387682
383,11.7883334
384,11.5583334
385,12.5030302
386,14.8666668
387,11.4704546
388,18.7916668
389,15.076087
390,16.364492600000002
391,10.058333199999998
392,15.724999799999996
393,10.659057999999998
394,17.421014399999994
395,12.399999799999998
396,11.841666800000002
397,12.565909200000002
398,16.730797
399,10.676087000000004
400,15.975
401,11.6583334
402,11.6318182
403,11.167650199999999
404,15.425
405,10.9416664
406,13.2320488
407,9.188405800000002
408,9.7373188
409,12.791666800000002
410,15.7561264
411,12.590151600000002
412,13.55471
413,14.908333199999998
414,14.8282608
415,14.634091000000002
416,19.133333399999998
417,13.867029
418,15.083333199999998
419,8.7583332
420,15.704762
421,13.9463768
422,15.8666666
423,14.567391399999998
424,12.775
425,20.358333399999996
426,16.1416664
427,18.339394
428,20.341666600000003
429,14.658333199999998
430,14.1462448
431,24.75
432,25.0847826
433,20.791666600000003
434,24.9601448
435,21.4688408
436,13.572726999999999
437,19.493840600000002
438,22.358333399999996
439,18.2206522
440,25.741666599999995
441,20.154710199999997
442,10.6666668
443,19.633333399999998
444,18.942424399999997
445,22.259058
446,21.599999800000003
447,17.265942000000006
448,13.8969698
449,20.6822462
450,14.361594
451,15.8916668
452,15.9810604
453,19.4782608
454,12.1166666
455,13.925
456,14.255900599999999
457,13.599242199999999
458,15.2576086
459,15.288405799999998
460,12.091666800000002
461,16.959091
462,13.9601448
463,14.2204546
464,11.1333336
465,16.155072399999998
466,13.237681199999995
467,19.8474638
468,15.0
469,16.0439394
470,12.7113636
471,16.594565199999998
472,11.358333400000001
473,15.7643938
474,11.9586956
475,12.7035714
476,11.9094204
477,13.535845199999999
478,13.7412282
479,12.4
480,12.294697000000005
481,9.7166668
482,12.6695652
483,15.259749800000002
484,12.850000199999998
485,13.368333600000005
486,11.7303032
487,12.7826086
488,12.908333199999998
489,20.332576
490,11.613406
491,14.3333334
492,13.387445999999999
493,19.013043399999997
494,15.328679599999996
495,17.75
496,15.1628788
497,14.723499
498,20.1876812
499,17.017753600000002
500,15.575
501,17.918840600000006
502,13.5666666
503,13.4333334
504,23.025
505,18.259091
506,21.875
507,16.525362199999996
508,15.685
509,9.459091
510,15.1575758
511,12.061363599999998
512,16.459058
513,18.117424399999997
514,17.3833332
515,9.9499998
516,16.191666599999998
517,14.275
518,15.7894926
519,14.825000200000002
520,14.457142800000002
521,12.8375824
522,20.0863636
523,10.55
524,10.4286232
525,12.2651514
526,14.832674399999998
527,9.5392856
528,14.775
529,11.802536199999999
530,9.978788
531,9.652536199999998
532,15.275
533,8.0242752
534,15.458333199999998
535,7.872463799999999
536,7.8688406
537,7.7
538,14.823419
539,8.625000199999999
540,14.3097826
541,10.511231800000001
542,11.6833334
543,11.338406000000004
544,15.624275199999998
545,9.7608696
546,10.858333199999999
547,10.1219698
548,7.849896600000001
549,10.075
550,16.075
551,8.332246399999999
552,15.033333600000002
553,9.0666666
554,9.325362199999999
555,11.218181800000002
556,11.9083334
557,11.3
558,14.4333334
559,11.0333334
560,7.3431815999999985
561,14.1212122
562,12.2199276
563,11.5923912
564,13.975
565,16.016666800000007
566,15.2304348
567,14.3560606
568,14.100000199999998
569,11.1916664
570,12.340909
571,17.746212
572,22.680303
573,16.35
574,20.4772728
575,12.0833334
576,11.4583334
577,19.65
578,25.0454548
579,22.0166664
580,25.752174000000004
581,15.7083334
582,9.5173912
583,21.266666800000007
584,22.664394
585,22.847727400000004
586,16.417753599999998
587,14.7666668
588,11.2
589,14.7869048
590,17.525
591,16.3586956
592,19.224275199999997
593,13.3561592
594,8.739262200000002
595,21.03125
596,19.008333399999998
597,17.9182478
598,11.4583334
599,14.279710199999998
600,8.1492424
601,11.90625
602,11.7666668
603,13.424999800000002
604,13.718478199999998
605,15.5514494
606,8.7228258
607,12.8037878
608,10.175000200000003
609,7.053030400000001
610,8.773912800000002
611,15.6666666
612,10.375
613,15.7833334
614,11.9818182
615,10.675
616,9.85471
617,13.558333199999998
618,8.874999800000003
619,14.5876812
